familyid,hhsize,age,lifesatis,dwellingunit,ownhome,employstatus,salary,owncar,numbercars,ownbusiness,healthins,collegeeduc,highlifesatis,logage,employed,retired
3407,4,26,1,2,0,1,0,0,0,0,1,0,1,3.2580965,1,0
3476,3,25,2,3,0,3,650,1,1,0,1,0,1,3.2188759,0,0
9324,3,64,2,3,0,1,0,1,3,0,1,0,1,4.1588831,1,0
6153,1,36,3,3,0,1,0,1,1,0,0,0,0,3.583519,1,0
7769,3,37,3,4,1,1,0,1,3,0,1,1,0,3.6109178,1,0
2476,2,44,1,1,1,1,135000,1,2,0,1,1,1,3.7841897,1,0
1650,2,56,3,1,1,1,0,1,2,0,1,1,0,4.0253515,1,0
7660,1,62,3,2,1,1,50,0,0,0,1,0,0,4.1271343,1,0
7871,4,38,1,1,0,1,0,0,0,0,1,0,1,3.6375861,1,0
7775,2,67,4,1,1,1,0,1,2,0,1,0,0,4.2046928,1,0
9265,4,42,2,1,1,1,80000,1,3,0,1,0,1,3.7376697,1,0
9049,4,34,3,1,1,1,0,1,3,1,1,1,0,3.5263605,1,0
8015,3,34,3,1,1,1,75000,0,0,0,1,0,0,3.5263605,1,0
7474,5,68,1,1,1,4,0,1,3,0,1,0,1,4.2195077,0,1
842,2,58,3,6,0,1,0,1,1,0,1,0,0,4.0604429,1,0
657,1,31,2,3,0,1,53000,1,1,0,1,0,1,3.4339871,1,0
2441,3,58,2,1,1,1,0,1,3,0,1,0,1,4.0604429,1,0
1846,4,32,2,1,0,1,50000,1,2,0,1,1,1,3.4657359,1,0
8743,3,44,1,1,1,1,0,1,2,0,1,1,1,3.7841897,1,0
8457,4,44,1,1,1,1,140000,1,2,0,1,1,1,3.7841897,1,0
9454,2,52,2,1,1,1,0,1,2,0,1,0,1,3.9512436,1,0
3309,3,80,0,3,0,4,0,1,3,0,1,0,0,4.3820267,0,1
3672,1,72,4,3,0,4,0,1,1,0,1,0,0,4.2766662,0,1
2349,1,64,2,3,0,1,0,1,1,0,1,0,1,4.1588831,1,0
9240,2,85,5,3,0,4,0,0,0,0,1,0,0,4.4426513,0,1
2467,3,73,2,1,1,1,0,1,2,0,1,0,1,4.2904596,1,0
1859,3,37,1,1,0,1,750,1,1,0,1,0,1,3.6109178,1,0
692,2,56,2,1,1,1,200000,1,2,0,1,0,1,4.0253515,1,0
222,1,27,2,3,0,1,0,1,1,0,1,0,1,3.2958369,1,0
988,1,24,2,3,0,1,60000,1,1,0,1,0,1,3.1780539,1,0
9447,2,68,2,1,1,4,0,1,1,0,1,0,1,4.2195077,0,1
9322,4,38,1,1,1,1,1800,1,2,0,1,0,1,3.6375861,1,0
7690,4,41,2,1,1,1,0,1,3,0,1,0,1,3.713572,1,0
42,1,48,1,1,0,1,0,1,1,0,0,0,1,3.871201,1,0
3690,3,62,1,1,1,3,0,1,4,0,1,0,1,4.1271343,0,0
4433,1,44,3,1,1,1,180000,1,1,0,1,0,0,3.7841897,1,0
922,1,55,2,3,0,1,40000,1,1,0,1,0,1,4.0073333,1,0
278,2,61,1,1,1,1,0,1,2,0,1,1,1,4.1108737,1,0
5467,3,60,2,1,1,1,120000,1,3,0,1,0,1,4.0943446,1,0
3379,6,42,1,3,0,1,0,1,2,0,1,1,1,3.7376697,1,0
9354,4,54,2,1,0,1,0,1,1,0,1,0,1,3.9889841,1,0
8456,3,33,1,1,0,3,0,0,0,0,1,0,1,3.4965076,0,0
6554,4,42,1,1,1,1,0,1,3,0,1,0,1,3.7376697,1,0
6799,2,41,2,1,0,1,0,1,2,0,1,1,1,3.713572,1,0
926,2,63,2,4,0,6,0,1,2,0,1,0,1,4.1431346,0,0
955,1,80,3,3,0,5,0,0,0,0,1,0,0,4.3820267,0,0
832,1,47,1,3,0,1,58000,1,1,0,1,0,1,3.8501475,1,0
4073,2,75,3,1,1,4,0,1,1,0,1,0,0,4.3174882,0,1
7686,4,45,3,1,0,1,0,1,2,1,1,1,0,3.8066626,1,0
4540,5,44,3,1,0,1,135000,1,2,0,1,1,0,3.7841897,1,0
2749,2,64,1,1,1,1,0,1,1,0,1,0,1,4.1588831,1,0
3723,1,28,2,3,0,7,0,0,0,0,1,0,1,3.3322046,0,0
2371,3,51,3,1,1,1,0,1,2,0,1,0,0,3.9318256,1,0
2531,2,26,2,3,0,3,0,1,2,0,1,0,1,3.2580965,0,0
1682,2,33,3,3,0,1,0,1,2,0,1,0,0,3.4965076,1,0
351,1,63,1,1,1,4,0,1,2,0,1,0,1,4.1431346,0,1
167,1,29,8,3,0,1,0,0,0,0,0,0,0,3.3672957,1,0
5755,4,28,2,1,1,1,0,1,2,0,1,1,1,3.3322046,1,0
7340,3,28,1,1,1,1,108000,1,2,0,1,1,1,3.3322046,1,0
6523,4,26,2,1,0,1,0,1,1,0,1,0,1,3.2580965,1,0
2210,5,51,2,1,1,1,0,1,2,0,1,0,1,3.9318256,1,0
2321,2,38,1,3,0,1,400,1,2,0,1,0,1,3.6375861,1,0
115,1,63,3,3,0,4,0,0,0,0,1,0,0,4.1431346,0,1
817,4,62,2,1,1,1,3000,1,5,0,1,0,1,4.1271343,1,0
775,1,25,2,1,0,1,84000,1,1,0,1,0,1,3.2188759,1,0
286,2,63,2,1,1,1,128000,1,2,0,1,0,1,4.1431346,1,0
8038,2,75,2,3,0,4,0,0,0,0,1,0,1,4.3174882,0,1
3457,2,82,2,2,0,4,0,1,1,0,1,1,1,4.4067192,0,1
3424,4,41,2,1,1,1,100000,1,1,0,1,1,1,3.713572,1,0
3483,5,37,1,1,1,1,95000,1,2,1,1,0,1,3.6109178,1,0
